1/30/1975,58,24,0
1/31/1975,29,23,4
12/1/1975,61,26,T
12/2/1975,27,18,0
12/3/1975,40,12,0
12/4/1975,29,15,T
12/5/1975,50,19,0
12/6/1975,59,38,0
12/7/1975,54,22,T
12/8/1975,35,20,T
12/9/1975,40,23,T
12/10/1975,33,25,2
12/11/1975,27,15,3
12/12/1975,30,24,3
12/13/1975,34,27,3
12/14/1975,50,32,1
12/15/1975,59,28,T
12/16/1975,56,29,0
12/17/1975,30,26,0
12/18/1975,37,7,1
12/19/1975,11,-1,2
12/20/1975,23,-2,2
12/21/1975,33,21,2
12/22/1975,28,8,3
12/23/1975,17,3,3
12/24/1975,23,7,4
12/25/1975,23,7,4
12/26/1975,31,18,6
12/27/1975,39,24,4
12/28/1975,25,20,4
12/29/1975,26,20,5
12/30/1975,35,23,4
12/31/1975,46,32,M
1/1/1976,46,23,M
1/2/1976,26,19,2
1/3/1976,42,20,1
1/4/1976,38,5,2
1/5/1976,10,0,2
1/6/1976,13,3,2
1/7/1976,39,10,2
1/8/1976,39,11,7
1/9/1976,11,-6,8
1/10/1976,3,-7,8
1/11/1976,24,0,8
1/12/1976,33,16,10
1/13/1976,32,15,10
1/14/1976,45,24,6
1/15/1976,42,14,6
1/16/1976,27,13,7
1/17/1976,30,5,8
1/18/1976,19,-3,8
1/19/1976,11,-3,8
1/20/1976,35,9,8
1/21/1976,28,20,9
1/22/1976,22,11,14
1/23/1976,13,-2,17
1/24/1976,42,-1,12
1/25/1976,48,22,9
1/26/1976,40,29,7
1/27/1976,48,23,M
1/28/1976,25,10,M
1/29/1976,29,10,10
1/30/1976,28,16,11
1/31/1976,27,19,13
12/1/1976,13,2,3
12/2/1976,32,12,4
12/3/1976,23,-5,5
12/4/1976,28,4,5
12/5/1976,29,13,6
12/6/1976,32,19,6
12/7/1976,40,21,4
12/8/1976,39,5,4
12/9/1976,14,6,4
12/10/1976,45,13,4
12/11/1976,46,17,2
12/12/1976,41,24,T
12/13/1976,40,13,T
12/14/1976,22,5,T
12/15/1976,44,18,T
12/16/1976,43,31,T
12/17/1976,42,20,T
12/18/1976,25,21,T
12/19/1976,45,22,T
12/20/1976,53,40,T
12/21/1976,47,6,2
12/22/1976,9,4,2
12/23/1976,24,6,2
12/24/1976,23,0,5
12/25/1976,33,-1,5
12/26/1976,38,20,8
12/27/1976,25,8,13
12/28/1976,36,10,13
12/29/1976,35,10,13
12/30/1976,14,-5,14
12/31/1976,24,0,14
2/1/1976,32,20,13
2/2/1976,34,-13,12
2/3/1976,8,-10,12
2/4/1976,33,8,12
2/5/1976,33,16,12
2/6/1976,32,14,11
2/7/1976,16,5,12
2/8/1976,16,5,12
2/9/1976,22,14,15
2/10/1976,38,14,14
2/11/1976,55,22,13
2/12/1976,33,20,13
2/13/1976,47,19,6
2/14/1976,47,17,5
2/15/1976,34,17,5
2/16/1976,53,30,1
2/17/1976,56,32,T
2/18/1976,50,35,T
2/19/1976,55,30,T
2/20/1976,50,28,T
2/21/1976,42,25,0
2/22/1976,62,36,0
2/23/1976,40,10,T
2/24/1976,32,12,T
2/25/1976,56,27,0
2/26/1976,59,46,0
2/27/1976,58,35,0
2/28/1976,54,28,0
2/29/1976,51,32,0
3/1/1976,66,43,0
3/2/1976,63,43,0
3/3/1976,62,50,0
3/4/1976,71,51,0
3/5/1976,72,52,0
3/6/1976,65,17,0
3/7/1976,45,22,0
3/8/1976,42,18,T
3/9/1976,32,15,1
3/10/1976,24,19,4
3/11/1976,44,22,4
3/12/1976,36,21,2
3/13/1976,48,30,0
3/14/1976,34,M,1
3/15/1976,38,18,T
3/16/1976,45,24,T
3/17/1976,32,10,6
3/18/1976,17,12,6
3/19/1976,48,17,3
3/20/1976,61,38,T
3/21/1976,70,49,0
3/22/1976,54,18,0
3/23/1976,36,16,0
3/24/1976,49,29,0
3/25/1976,64,41,0
3/26/1976,61,40,0
3/27/1976,67,50,0
3/28/1976,64,30,0
3/29/1976,50,25,0
3/30/1976,51,39,0
3/31/1976,52,43,0
1/1/1977,6,-3,14
1/2/1977,6,-1,14
1/3/1977,16,4,14
1/4/1977,26,15,14
1/5/1977,21,14,14
1/6/1977,24,16,13
1/7/1977,29,19,17
1/8/1977,21,0,17
1/9/1977,20,2,15
1/10/1977,20,12,17
1/11/1977,27,-2,17
1/12/1977,4,0,17
1/13/1977,4,-9,17
1/14/1977,26,-5,17
1/15/1977,30,15,20
1/16/1977,20,8,25
1/17/1977,9,-17,25
1/18/1977,-6,-16,25
1/19/1977,2,-9,25
1/20/1977,10,-7,23
1/21/1977,18,3,24
1/22/1977,13,5,26
1/23/1977,10,-1,26
1/24/1977,25,0,25
1/25/1977,27,18,27
1/26/1977,23,13,29
1/27/1977,27,4,29
1/28/1977,23,7,28
1/29/1977,38,-15,28
1/30/1977,5,-13,28
1/31/1977,7,-6,28
12/1/1977,43,28,2
12/2/1977,58,20,M
12/3/1977,38,28,M
12/4/1977,35,21,T
12/5/1977,33,21,2
12/6/1977,36,19,2
12/7/1977,21,-1,5
12/8/1977,8,-2,M
12/9/1977,35,4,M
