,January,February,March,April,May,June,July,August,September,October,November,December,Year
AZE,0.9102644486862728,1.759976473720818,4.843960848722273,7.936839710582728,12.591713645240002,17.12640380859091,21.457955100318177,21.25867254083636,16.389798251072726,10.458265824749091,5.058929443363637,2.444122314456909,10.186408534194992
BDI,19.947316487633334,20.90974934893333,21.693481445300005,21.755767822266662,21.876241048166666,22.821543375633336,23.840799967433338,24.505472819,24.40587361653333,22.99780273436667,20.677785237633334,19.78389485673333,22.101310729969445
BEL,3.742299397788333,2.8178710937516662,4.243377685546666,7.372141520183334,10.425201416026669,15.173350016266664,17.381556193050002,16.719996134433334,14.540501912433337,10.274500528973334,7.113520304361667,5.104329427083333,9.575720469158195
BEN,25.860572814937505,27.892871856675,29.522048950175,28.847812652587496,27.175254821787497,25.892925262437497,25.92462921145,25.3222160339375,25.109859466537493,25.3184623718125,26.0661544799875,25.967338562012497,26.575012207028127
BFA,24.605612618571428,27.17292785643571,29.45478820802143,29.851678030821425,28.03179277692857,26.16288103376429,26.44855390275714,25.768879481714286,25.46623883928571,25.742274693085715,25.92935180664286,24.68531799315714,26.610024770098807
BGD,19.47274780275,22.33222045899,26.32593383789,29.63016052246,30.102038574209995,28.29716186523,27.4822052002,26.86468200683,25.0008605957,23.35569152832,21.72052001952001,19.12427978516,24.975708516438335
BGR,2.8036346435525,1.7410240173331253,4.71278762817375,8.241264343256251,13.2855606079125,18.638114929175003,23.2891960144,22.9166069030625,17.4052772521875,10.340187072755,6.028884887695,4.03005981445375,11.119383176163074
BHR,14.0514526367,17.1638793945,22.1148681641,26.6841430664,32.1461486816,38.1753540039,40.5373535156,39.6342163086,35.2124633789,28.4098205566,20.5592956543,15.747833252,27.536402384433334
BHS,23.3110427856375,22.402980804437497,22.342498779287496,23.1897506713875,24.694675445562503,25.9532432556125,27.016002655025,27.858989715575,28.01724243165,27.3442268371375,25.919597625725,24.5551147461,25.217113812761458
BIH,3.9155324300133336,3.120213826496,5.306584676108333,8.591176350915001,12.828745524083333,17.96908569335,21.8490854899,21.48440043131667,17.000315348316665,11.001978556315,7.384490966791667,5.621068318686668,11.339389801024389
BLR,-4.549063546316428,-6.902507237023571,-2.1018197195849853,4.719948904855,10.356604439878572,15.428338187078571,18.769880022321427,16.86625017437857,11.104182652070714,5.165418352398571,0.745954241071857,-2.8059605189734285,5.566435496012905
BLZ,21.4646835327,21.811172485350003,24.50007629395,26.4596939087,27.5604324341,28.1131439209,28.833473205525,28.75216674805,27.377830505375,24.885879516625003,23.4289703369,22.2166519165,25.450347900389584
BMU,18.0162353516,17.6033935547,17.3059082031,18.2509460449,20.2728271484,23.3811035156,25.686920166,26.768157959,26.2092285156,24.0207214355,21.6458435059,19.4331970215,21.549540201816665
BOL,22.22565179122237,22.02374749434395,21.276161595387634,20.25433911774842,20.452305843953944,20.42284915321736,20.82889757658,23.377805207912107,26.61715216386132,26.98333820543395,25.472616898389735,22.68300668817026,22.71815597801842
BRA,26.45581878392168,26.19107123180842,25.604044551344657,24.790180577643813,24.1319919012283,23.99745002679068,25.05073776920177,27.25759955211901,29.197043764905757,30.110697113307094,29.597912678680075,27.333019425384524,26.643130614694645
BRB,24.2810974121,23.988494873,23.9725036621,24.2959899902,24.7861938477,25.3908996582,26.713470459,27.9749450684,28.1673278809,27.6643981934,26.7784423828,25.3456726074,25.77995300293333
